id,create_time,user_name,song,song_id,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6759758379897457926,1573878910,andrewweberco,Ouch,6732161888362170369,4200000,82900,22000,38900000,252600,4500000,97
6878140371881184518,1601441925,pedicurist0,Ouch,6732161888362170369,2700000,34300,18000,47200000,1300000,7500000,79
6881246601822735622,1602165168,earcleaning02,Ouch,6732161888362170369,1000000,21000,11800,12500000,111500,1300000,23
6885942817848364294,1603258610,slowmotion563,Ouch,6732161888362170369,853500,32100,16100,19300000,288900,3200000,59
6890500404191300870,1604319846,slowmotion563,Ouch,6732161888362170369,782000,13000,12900,16700000,288900,3200000,59
6883315043820227846,1602646726,slowmotion563,Ouch,6732161888362170369,689400,12800,9345,15400000,288900,3200000,59
6885524897267830022,1603161237,beautifulqwer,Ouch,6732161888362170369,673000,8788,4100,13400000,34100,747100,89
6883502872424680709,1602690467,wanzi234,Ouch,6732161888362170369,519900,2501,4462,25100000,125400,1400000,62
6792007597315706117,1581387503,joensberg,Ouch,6732161888362170369,449400,20100,4458,5500000,14000,450200,4
6884093567254449413,1602828060,thatlilkit7,Ouch,6732161888362170369,359800,7176,3598,7800000,189900,1300000,131
6884248209175170309,1602863999,slowmotion563,Ouch,6732161888362170369,326000,13500,3128,13400000,288900,3200000,59
6767614490654608646,1575708042,antweeze,Ouch,6732161888362170369,298300,1562,654,3400000,14800,299400,11
6877416858128108806,1601273536,kayttt24,Ouch,6732161888362170369,291100,6860,5149,2900000,3265,295200,57
6821659034777603334,1588291266,kmillyrock00,Ouch,6732161888362170369,264500,411,1336,2200000,6394,462900,130
6882525131013377286,1602462786,thatlilkit7,Ouch,6732161888362170369,221200,3353,1466,8800000,189900,1300000,131
6793684303835335942,1581777891,jeremyisfunny,Ouch,6732161888362170369,187400,1652,2108,1900000,8387,203000,1075
6796779998372973830,1582498664,theroligore,Ouch,6732161888362170369,163500,1615,643,1500000,394100,8800000,265
6878140161264241926,1601441882,naiclipper,Ouch,6732161888362170369,146700,1266,1182,2700000,498600,3500000,100
6883087545341578502,1602593839,thatlilkit7,Ouch,6732161888362170369,132300,2532,2411,2600000,189900,1300000,131
6878133902678985989,1601440401,pedicurist0,Ouch,6732161888362170369,130600,656,704,3900000,1300000,7500000,79
6884466778387254533,1602914912,wanzi234,Ouch,6732161888362170369,123300,3695,2186,4600000,125400,1400000,62
6884266751148756230,1602868320,pedicurist0,Ouch,6732161888362170369,116200,1812,1234,2500000,1300000,7500000,79
6874396569953783046,1600570187,thatlilkit9,Ouch,6732161888362170369,112400,1354,1011,3300000,91100,491400,165
6814655339858808070,1586660590,austin.harp3,Ouch,6732161888362170369,112100,681,1016,1300000,17700,159700,10
6883727610673663238,1602742902,thatlilkit7,Ouch,6732161888362170369,109100,4532,2384,2500000,189900,1300000,131
6879892619904781573,1601849866,piercingsbysonia,Ouch,6732161888362170369,100300,547,715,1800000,232000,2000000,65
6760340912649309445,1574014528,dzihnesaa,Ouch,6732161888362170369,94100,4511,1413,2700000,11700,129800,56
6886282746545622277,1603337700,pedicurist0,Ouch,6732161888362170369,84400,618,840,1800000,1300000,7500000,79
6867398392226663686,1598940949,thatlilkit9,Ouch,6732161888362170369,78700,1054,961,3200000,91100,491400,165
6759973832318012677,1573929060,matowelie,Ouch,6732161888362170369,73600,729,223,781700,1100000,50900000,434
6886859359314349317,1603471957,dr.brownlee,Ouch,6732161888362170369,71000,1884,448,3200000,154000,1000000,271
6884224542827384070,1602858524,dr.brownlee,Ouch,6732161888362170369,71000,922,306,3000000,154000,1000000,271
6886365312309005573,1603357245,lighterboy24,Ouch,6732161888362170369,69500,4141,321,499300,96400,1100000,152
6759921393418210566,1573916851,victortt99,Ouch,6732161888362170369,67700,371,677,670800,447300,14200000,921
6774169358085278982,1577234215,hi.ben.wilson,Ouch,6732161888362170369,59500,400,70,518200,64200,1300000,140
6759714718153231621,1573868732,gnarlyhorn,Ouch,6732161888362170369,57100,1590,162,690600,15200,136500,13
6890938177067044101,1604421620,lisajy001,Ouch,6732161888362170369,56100,395,215,3000000,12700,107000,27
6884568311279914245,1602938660,dr.brownlee,Ouch,6732161888362170369,54700,202,163,3100000,154000,1000000,271
6885684466312908037,1603198394,tatteddegen,Ouch,6732161888362170369,47700,46,464,764700,76100,328600,160
6878344582623415558,1601489435,ash.paints.faces,Ouch,6732161888362170369,46200,762,889,3100000,20200,93000,61
6884443186253597958,1602909396,wanzi234,Ouch,6732161888362170369,45800,348,224,1800000,125400,1400000,62
6817234848667684102,1587261179,austin.harp3,Ouch,6732161888362170369,44300,90,114,2000000,17700,159700,10
6885848423627492609,1603236525,lozano_gf,Ouch,6732161888362170369,43400,20,179,306200,2000000,83300000,784
6759907358136126725,1573913584,marcsantisteve,Ouch,6732161888362170369,40100,3518,83,494600,193300,4100000,92
6886819847661948166,1603462790,careofeyes,Ouch,6732161888362170369,39300,2615,550,1500000,297900,1900000,191
6874162524057570566,1600515777,villa503,Ouch,6732161888362170369,38600,231,279,5400000,3227,38800,8
6891539028005375237,1604561636,sharegoodthings455,Ouch,6732161888362170369,37200,6418,1068,2700000,6358,48600,66
