id,create_time,user_name,hashtags,song,video_length,n_likes,n_shares,n_comments,n_plays,n_followers,n_total_likes,n_total_vids
6874760068127051013,1600654842,addisonre,[],What You Know Bout Love,15,6900000,98100,77200,59600000,67800000,4200000000,1261
6884687827032984838,1602966340,jasonderulo,[],Amityville Horror - Scary Halloween Sound Effects,17,1200000,16500,27600,8300000,39200000,868700000,575
6890358893302549765,1604286733,amyywoahh,[],original sound,32,3700000,10500,29100,19100000,6500000,272400000,708
6890500404191300870,1604319846,slowmotion563,[],Ouch,22,524200,8120,6963,13600000,272600,2900000,59
6869083330957036806,1599333099,miakhalifa,[],original sound,12,339400,738,2620,4100000,12600000,130800000,216
6892216519523192070,1604719243,xchechinx,"['FamilyImpression', 'RedBullDanceYourStyle', 'FallFashion', 'UnwrapTheDeals', '4u', 'foryou', 'fypage', 'fypシ', 'fy', 'fyp', 'forupage', 'foru', 'viral']",original sound,56,138800,847,2116,490300,1400000,50500000,263
6888392802145701125,1603828968,lupitaubitaroble_oficial,"['dúo', 'MyCostume', 'fyp', 'yellow', 'maquillaje', 'teamlobo🐺', 'lupitaroblescasti6', 'yougotthis', 'magic', 'sorprendente', 'gaminglife', 'rainbow', 'like']",оригинальный звук,14,11100,4770,78,303100,193000,1300000,389
6870989331562040582,1599776880,charlidamelio,"['duet', 'charlirunsondunkin', 'ad']",The Charli,25,9000000,33800,60900,52100000,97300000,7600000000,1641
6870854022073502981,1599745393,foodies,[],original sound,6,406800,46400,6000,2700000,12200000,480300000,695
6892163621367844101,1604706925,savy89011,"['fyp', 'makethisgoviral', 'getthisontheforyoupage', 'crazymixedgirl', 'xyzbca', 'newyorkcity', 'timesquare']",original sound,18,280400,4734,7360,1700000,58900,714900,238
6892146030851247366,1604702832,bunnydayoff,"['bunnydayoff', 'dog', 'cat', 'UnwrapTheDeals', 'FallFashion', 'RedBullDanceYourStyle', 'FamilyImpression', 'christmas', 'addisonre', 'bellapoarch', 'coolkid']",BOO!,15,1100000,37900,15000,3600000,524900,9300000,188
6885066456283745541,1603054490,whatagoofball2_0,"['HorrorTok', 'goofballsquad', 'fyp', 'lovenothate']",original sound,59,2400000,17300,166700,14700000,1000000,16000000,1097
6887276782177897733,1603569131,maddzak,[],original sound,30,3600000,7110,61200,24000000,2200000,48200000,385
6886890078023503109,1603479101,bigdoglefty,"['fyp', 'foryoupage', 'laugh', 'comedy', 'funny', 'funnyvideos', 'positivecoalition']",original sound,9,26600,508,310,495000,18600,137800,241
6863826766314654978,1598109214,cainguzman,[],Tampa Curhat Beat,10,78100,116,185,437600,16200000,721900000,2757
6891838671562018054,1604631273,bob_ross_n,"['fyp', 'bobross', 'RedBullDanceYourStyle', 'MyRecommendation', 'UnwrapTheDeals']",original sound,43,1800000,10200,8029,7600000,274300,2600000,257
6888699528745209094,1603900375,minke328,"['nail', 'nails', 'foot', 'foryou']","Boom, Boom, Boom, Boom!!",34,1200000,35800,26600,13400000,760400,6900000,194
6892094635775184134,1604690875,eduardoyahoo2,"['fyp', 'viral']",original sound,29,496000,1070,2169,3900000,46800,643200,29
6887658887411928325,1603658084,nathan_fox_was_here,"['dinosaur', 'egg', 'experiment', 'science', 'scienceexperiments']",original sound,28,75600,148,438,2000000,392100,12800000,405
6890370514968268037,1604289444,joelsanto78,"['dúo', 'parati', 'sifunciona', 'viral', 'juanmedina213', 'foryou', 'love', 'foryou', 'love', 'foryou', 'tiktok', 'duet', 'fyp', 'sifunciona']",Astronomia,15,96300,10400,300,1700000,157000,900600,851
6859481382935104773,1597097470,addisonre,[],Money Trees,15,3800000,96500,60000,29400000,67800000,4200000000,1261
6882591107935472901,1602478183,jasonderulo,[],original sound,15,1300000,6473,7692,10600000,39200000,868700000,575
6874793860422192389,1600662721,jasonderulo,[],Savage Love (Laxed - Siren Beat),16,1200000,8606,16800,10400000,39200000,868700000,575
6875112198385962245,1600736825,addisonre,[],Basic or bad Tiktoshh,10,4700000,18400,37900,26500000,67800000,4200000000,1261
6868740485347855621,1599253275,addisonre,[],white tee,9,2700000,39400,113600,20800000,67800000,4200000000,1261
6863612658365533446,1598059361,jasonderulo,[],original sound,20,2600000,16000,14700,16200000,39200000,868700000,575
6868685809617243398,1599240544,addisonre,['itemcofounder'],thank you guys so much for using this sound,15,3700000,29700,49000,28000000,67800000,4200000000,1261
6886959029378125062,1603495145,lupitaubitaroble_oficial,"['dúo', 'sfxmakeup', 'magic', 'rainbow', 'halloween2020', 'halloweenathome', 'indigenousbaddie', 'foryoupage', 'teamlobo🐺', 'lupitaroblescasti6']",оригинальный звук,14,22500,6346,67,505900,193000,1300000,389
6859890572371430661,1597192744,addisonre,[],im outside in a amg L.Dre remix,9,3400000,30500,57200,24000000,67800000,4200000000,1261
6864722681795808518,1598317810,charlidamelio,[],WAP x 7 RINGS by Adamusic,15,9400000,83200,121400,52500000,97300000,7600000000,1641
6861699255313157381,1597613860,addisonre,[],WAP (feat. Megan Thee Stallion),10,6200000,116200,120400,62100000,67800000,4200000000,1261
